published_year,crossref_type,code,name,total,avg_score,count_oa,count_gold,count_green,count_bronze,count_hybrid,count_doaj,count_diamond,count_green_only,count_green_only_ignoring_bronze,count_cc_licensed,mean_citations,mean_citations2y
2021,book-chapter,bg,Bulgarian,23,0.5741598891175312,12,1,0,11,1,0,0,0,0,1,,
2021,journal-article,bg,Bulgarian,169,0.8122504853020758,97,49,5,48,44,5,5,0,0,49,,
2021,posted-content,bg,Bulgarian,1,0.07245498895645142,1,0,1,0,0,0,0,1,1,0,,
2021,report,bg,Bulgarian,1,0.8530365228652954,1,0,0,1,0,0,0,0,0,0,,
2021,proceedings-article,bg,Bulgarian,4,0.29461491107940674,4,1,0,3,1,0,0,0,0,1,,
2021,proceedings-article,my,Burmese,6,0.9623285531997681,6,6,0,0,6,0,0,0,0,6,,
2021,book,my,Burmese,10,1.0000100135803223,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,my,Burmese,2,0.15103528648614883,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,my,Burmese,1,0.2384435385465622,1,1,0,0,1,0,0,0,0,1,,
2021,journal-article,my,Burmese,1,0.9860453009605408,1,1,0,0,0,1,1,0,0,1,,
2021,book,ca,Catalan,30,0.6192344243327776,12,4,9,2,4,0,0,6,7,7,,
2021,other,ca,Catalan,25,0.2836838427186012,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings-article,ca,Catalan,14,0.18272353442651887,2,0,1,2,0,0,0,0,1,0,,
2021,monograph,ca,Catalan,2,0.13626272231340408,0,0,0,0,0,0,0,0,0,0,,
2021,posted-content,ca,Catalan,5,0.34615412950515745,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,ca,Catalan,893,0.7003586947634264,674,542,216,114,151,391,312,18,34,558,1.3529411764705883,1.3529411764705883
2021,book-part,ca,Catalan,5,0.18904063552618028,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings,ca,Catalan,4,0.2359098643064499,1,1,0,0,1,0,0,0,0,1,,
2021,reference-entry,ca,Catalan,33,0.24087291865637803,27,27,1,0,27,0,0,0,0,27,,
2021,report,ca,Catalan,23,0.7214218734399133,22,19,5,1,19,0,0,2,2,19,,
2021,journal-issue,ca,Catalan,6,0.39867784082889557,4,4,0,0,2,2,2,0,0,4,,
2021,book-chapter,ca,Catalan,906,0.31482697339115817,32,8,5,20,6,2,0,4,4,9,2.1666666666666665,2.1666666666666665
2021,dataset,ca,Catalan,76,0.2721110143159565,63,63,0,0,63,0,0,0,0,63,,
2021,component,ca,Catalan,17,0.20596405074876897,1,0,0,1,0,0,0,0,0,0,,
2021,proceedings-article,ceb,Cebuano,7,0.3681273141077587,0,0,0,0,0,0,0,0,0,0,,
2021,reference-entry,ceb,Cebuano,32,0.3649164864327759,27,27,0,0,27,0,0,0,0,27,1.0,1.0
2021,component,ceb,Cebuano,22,0.30015650323846116,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,ceb,Cebuano,514,0.4122748477420685,6,3,0,3,3,0,0,0,0,3,1.0,1.0
